Vertex Index (0-based) | Vertex Index (1-based) | X | Y | Z | U | V
144 | 145 | -3.670075 | 2.360153 | 3.635230 | 0.318785 | 0.603765
145 | 146 | -3.177186 | 2.294265 | 3.775704 | 0.343364 | 0.599403
146 | 147 | -2.196121 | -4.598322 | 4.479786 | 0.396100 | 0.289783
147 | 148 | -6.234883 | -1.944430 | 1.663542 | 0.187885 | 0.411462
148 | 149 | -1.292924 | -9.295920 | 4.094063 | 0.430987 | 0.055935
149 | 150 | -3.210651 | -8.533278 | 2.802001 | 0.318993 | 0.101715
150 | 151 | -4.068926 | -7.993109 | 1.925119 | 0.266248 | 0.130299
151 | 152 | 0.000000 | 6.545390 | 5.027311 | 0.500023 | 0.809424
152 | 153 | 0.000000 | -9.403378 | 4.264492 | 0.499977 | 0.045547
153 | 154 | -2.724032 | 2.315802 | 3.777151 | 0.366170 | 0.601178
154 | 155 | -2.288460 | 2.398891 | 3.697603 | 0.393207 | 0.604463
155 | 156 | -1.998311 | 2.496547 | 3.689148 | 0.410373 | 0.608920
156 | 157 | -6.130040 | 3.399261 | 2.038516 | 0.194993 | 0.657898
157 | 158 | -2.288460 | 2.886504 | 3.775031 | 0.388665 | 0.637716
158 | 159 | -2.724032 | 2.961810 | 3.871767 | 0.365962 | 0.644029
159 | 160 | -3.177186 | 2.964136 | 3.876973 | 0.343364 | 0.644643
160 | 161 | -3.670075 | 2.927714 | 3.724325 | 0.318785 | 0.641660
161 | 162 | -4.018389 | 2.857357 | 3.482983 | 0.301415 | 0.636844
162 | 163 | -7.555811 | 4.106811 | -0.991917 | 0.058133 | 0.680924
163 | 164 | -4.018389 | 2.483695 | 3.440898 | 0.301415 | 0.612551
164 | 165 | 0.000000 | -2.521945 | 5.932265 | 0.499988 | 0.381566
165 | 166 | -1.776217 | -2.683946 | 5.213116 | 0.415838 | 0.375804
166 | 167 | -1.222237 | -1.182444 | 5.952465 | 0.445682 | 0.433923
167 | 168 | -0.731493 | -2.536683 | 5.815343 | 0.465844 | 0.379359
168 | 169 | 0.000000 | 3.271027 | 5.236015 | 0.499923 | 0.648476
169 | 170 | -4.135272 | -6.996638 | 2.671970 | 0.288719 | 0.180054
170 | 171 | -3.311811 | -7.660815 | 3.382963 | 0.335279 | 0.147180
171 | 172 | -1.313701 | -8.639995 | 4.702456 | 0.440512 | 0.097581
172 | 173 | -5.940524 | -6.223629 | -0.631468 | 0.128294 | 0.208059
173 | 174 | -1.998311 | 2.743838 | 3.744030 | 0.408772 | 0.626106
174 | 175 | -0.901447 | 1.236992 | 5.754256 | 0.455607 | 0.548199
175 | 176 | 0.000000 | -8.765243 | 4.891441 | 0.499877 | 0.091010
176 | 177 | -2.308977 | -8.974196 | 3.609070 | 0.375437 | 0.075808
177 | 178 | -6.954154 | -2.439843 | -0.131163 | 0.114210 | 0.384978
178 | 179 | -1.098819 | -4.458788 | 5.120727 | 0.448662 | 0.304722
179 | 180 | -1.181124 | -4.579996 | 5.189564 | 0.448020 | 0.295368
180 | 181 | -1.255818 | -4.787901 | 5.237051 | 0.447112 | 0.284192
181 | 182 | -1.325085 | -5.106507 | 5.205010 | 0.444832 | 0.269206
182 | 183 | -1.546388 | -5.819392 | 4.757893 | 0.430012 | 0.233191
183 | 184 | -1.953754 | -4.183892 | 4.431713 | 0.406787 | 0.314327
184 | 185 | -2.117802 | -4.137093 | 4.555096 | 0.400738 | 0.318931
185 | 186 | -2.285339 | -4.051196 | 4.582438 | 0.392400 | 0.322297
186 | 187 | -2.850160 | -3.665720 | 4.484994 | 0.367856 | 0.336081
187 | 188 | -5.278538 | -2.238942 | 2.861224 | 0.247923 | 0.398667
188 | 189 | -0.946709 | 1.907628 | 5.196779 | 0.452770 | 0.579150
189 | 190 | -1.314173 | 3.104912 | 4.231404 | 0.436392 | 0.640113
190 | 191 | -1.780000 | 2.860000 | 3.881555 | 0.416164 | 0.631286
191 | 192 | -1.845110 | -4.098880 | 4.247264 | 0.413386 | 0.307634
192 | 193 | -5.436187 | -4.030482 | 2.109852 | 0.228018 | 0.316428
193 | 194 | -0.766444 | 3.182131 | 4.861453 | 0.468268 | 0.647329
194 | 195 | -1.938616 | -6.614410 | 4.521085 | 0.411362 | 0.195673
195 | 196 | 0.000000 | 1.059413 | 6.774605 | 0.499989 | 0.530175
196 | 197 | -0.516573 | 1.583572 | 6.148363 | 0.479154 | 0.557346
197 | 198 | 0.000000 | 1.728369 | 6.316750 | 0.499974 | 0.560363
198 | 199 | -1.246815 | 0.230297 | 5.681036 | 0.432112 | 0.506411
199 | 200 | 0.000000 | -7.942194 | 5.181173 | 0.499886 | 0.133083
200 | 201 | 0.000000 | -6.991499 | 5.153478 | 0.499913 | 0.178271
201 | 202 | -0.997827 | -6.930921 | 4.979576 | 0.456549 | 0.180799
202 | 203 | -3.288807 | -5.382514 | 3.795752 | 0.344549 | 0.254561
203 | 204 | -2.311631 | -1.566237 | 4.590085 | 0.378909 | 0.425990
204 | 205 | -2.680250 | -6.111567 | 4.096152 | 0.374293 | 0.219815
205 | 206 | -3.832928 | -1.537326 | 4.137731 | 0.319688 | 0.429262
206 | 207 | -2.961860 | -2.274215 | 4.440943 | 0.357155 | 0.395730
207 | 208 | -4.386901 | -2.683286 | 3.643886 | 0.295284 | 0.378419
208 | 209 | -1.217295 | -7.834465 | 4.969286 | 0.447750 | 0.137523
209 | 210 | -1.542374 | -0.136843 | 5.201008 | 0.410986 | 0.491277
210 | 211 | -3.878377 | -6.041764 | 3.311079 | 0.313951 | 0.224692
211 | 212 | -3.084037 | -6.809842 | 3.814195 | 0.354128 | 0.187447
212 | 213 | -3.747321 | -4.503545 | 3.726453 | 0.324548 | 0.296007
213 | 214 | -6.094129 | -3.205991 | 1.473482 | 0.189096 | 0.353700
214 | 215 | -4.588995 | -4.728726 | 2.983221 | 0.279777 | 0.285342
215 | 216 | -6.583231 | -3.941269 | 0.070268 | 0.133823 | 0.317299
216 | 217 | -3.492580 | -3.195820 | 4.130198 | 0.336768 | 0.355267
217 | 218 | -1.255543 | 0.802341 | 5.307551 | 0.429884 | 0.533478
218 | 219 | -1.126122 | -0.933602 | 6.538785 | 0.455528 | 0.451377
219 | 220 | -1.443109 | -1.142774 | 5.905127 | 0.437114 | 0.441104
220 | 221 | -0.923043 | -0.529042 | 7.003423 | 0.467288 | 0.470075
221 | 222 | -1.755386 | 3.529117 | 4.327696 | 0.414712 | 0.664780
222 | 223 | -2.632589 | 3.713828 | 4.364629 | 0.377046 | 0.677222
223 | 224 | -3.388062 | 3.721976 | 4.309028 | 0.344108 | 0.679849
224 | 225 | -4.075766 | 3.675413 | 4.076063 | 0.312876 | 0.677668
225 | 226 | -4.622910 | 3.474691 | 3.646321 | 0.283526 | 0.666810
226 | 227 | -5.171755 | 2.535753 | 2.670867 | 0.241246 | 0.617214
227 | 228 | -7.297331 | 0.763172 | -0.048769 | 0.102986 | 0.531237
228 | 229 | -4.706828 | 1.651000 | 3.109532 | 0.267612 | 0.575440
229 | 230 | -4.071712 | 1.476821 | 3.476944 | 0.297879 | 0.566824
230 | 231 | -3.269817 | 1.470659 | 3.731945 | 0.333434 | 0.566122
231 | 232 | -2.527572 | 1.617311 | 3.865444 | 0.366427 | 0.573884
232 | 233 | -1.970894 | 1.858505 | 3.961782 | 0.396012 | 0.583304
233 | 234 | -1.579543 | 2.097941 | 4.084996 | 0.420121 | 0.589772
234 | 235 | -7.664182 | 0.673132 | -2.435867 | 0.007561 | 0.519223
235 | 236 | -1.397041 | -1.340139 | 5.630378 | 0.432949 | 0.430482
236 | 237 | -0.884838 | 0.658740 | 6.233232 | 0.458639 | 0.520911
237 | 238 | -0.767097 | -0.968035 | 7.077932 | 0.473466 | 0.454256
238 | 239 | -0.460213 | -1.334106 | 6.787447 | 0.476088 | 0.436170
239 | 240 | -0.748618 | -1.067994 | 6.798303 | 0.468472 | 0.444943
240 | 241 | -1.236408 | -1.585568 | 5.480490 | 0.433991 | 0.417638
241 | 242 | -0.387306 | -1.409990 | 6.957705 | 0.483518 | 0.437016
242 | 243 | -0.319925 | -1.607931 | 6.508676 | 0.482483 | 0.422151
243 | 244 | -1.639633 | 2.556298 | 3.863736 | 0.426450 | 0.610201
244 | 245 | -1.255645 | 2.467144 | 4.203800 | 0.438999 | 0.603505
245 | 246 | -1.031362 | 2.382663 | 4.615849 | 0.450067 | 0.599566
246 | 247 | -4.253081 | 2.772296 | 3.315305 | 0.289712 | 0.631747
247 | 248 | -4.530000 | 2.910000 | 3.339685 | 0.276670 | 0.636627
248 | 249 | 0.463928 | 0.955357 | 6.633583 | 0.517862 | 0.528052
249 | 250 | 4.253081 | 2.577646 | 3.279702 | 0.710288 | 0.619236
250 | 251 | 0.416106 | -1.466449 | 6.447657 | 0.526227 | 0.426090
251 | 252 | 7.087960 | 5.434801 | 0.099620 | 0.895093 | 0.745859
252 | 253 | 2.628639 | 2.035898 | 3.848121 | 0.634070 | 0.590424
253 | 254 | 3.198363 | 1.985815 | 3.796952 | 0.661242 | 0.586975
254 | 255 | 3.775151 | 2.039402 | 3.646194 | 0.688880 | 0.590540
255 | 256 | 4.465819 | 2.422950 | 3.155168 | 0.725342 | 0.610869
256 | 257 | 2.164289 | 2.189867 | 3.851822 | 0.606630 | 0.596295
257 | 258 | 3.208229 | 3.223926 | 4.115822 | 0.654766 | 0.655989
258 | 259 | 2.673803 | 3.205337 | 4.092203 | 0.629906 | 0.653924
259 | 260 | 3.745193 | 3.165286 | 3.972409 | 0.680678 | 0.652735
260 | 261 | 4.161018 | 3.059069 | 3.719554 | 0.702097 | 0.646409
261 | 262 | 5.062006 | 1.934418 | 2.776093 | 0.752212 | 0.589195
262 | 263 | 2.266659 | -7.425768 | 4.389812 | 0.602918 | 0.157137
263 | 264 | 4.445859 | 2.663991 | 3.173422 | 0.719902 | 0.624400
264 | 265 | 7.214530 | 2.263009 | 0.073150 | 0.893693 | 0.600040
265 | 266 | 5.799793 | 2.349546 | 2.204059 | 0.790082 | 0.608646
266 | 267 | 2.844939 | -0.720868 | 4.433130 | 0.643998 | 0.465512
267 | 268 | 0.711452 | -3.329355 | 5.877044 | 0.528249 | 0.349596
268 | 269 | 0.606033 | -3.924562 | 5.444923 | 0.525850 | 0.319809
269 | 270 | 1.431615 | -3.500953 | 5.496189 | 0.560215 | 0.342771
270 | 271 | 1.914910 | -3.803146 | 5.028930 | 0.585384 | 0.333459
271 | 272 | 1.131043 | -3.973937 | 5.189648 | 0.549626 | 0.319139
272 | 273 | 1.563548 | -4.082763 | 4.842263 | 0.571228 | 0.317308
273 | 274 | 2.650112 | -5.003649 | 4.188483 | 0.624852 | 0.271901
274 | 275 | 0.427049 | -1.094134 | 7.360529 | 0.513050 | 0.452718
275 | 276 | 0.496396 | -0.475659 | 7.440358 | 0.515097 | 0.472748
