Vertex Index (0-based) | Vertex Index (1-based) | X | Y | Z | U | V
398 | 399 | 1.998311 | 2.743838 | 3.744030 | 0.591234 | 0.626106
399 | 400 | 0.901447 | 1.236992 | 5.754256 | 0.544341 | 0.548416
400 | 401 | 2.308977 | -8.974196 | 3.609070 | 0.624563 | 0.075808
401 | 402 | 6.954154 | -2.439843 | -0.131163 | 0.885770 | 0.384971
402 | 403 | 1.098819 | -4.458788 | 5.120727 | 0.551338 | 0.304722
403 | 404 | 1.181124 | -4.579996 | 5.189564 | 0.551980 | 0.295368
404 | 405 | 1.255818 | -4.787901 | 5.237051 | 0.552888 | 0.284192
405 | 406 | 1.325085 | -5.106507 | 5.205010 | 0.555168 | 0.269206
406 | 407 | 1.546388 | -5.819392 | 4.757893 | 0.569944 | 0.232965
407 | 408 | 1.953754 | -4.183892 | 4.431713 | 0.593203 | 0.314324
408 | 409 | 2.117802 | -4.137093 | 4.555096 | 0.599262 | 0.318931
409 | 410 | 2.285339 | -4.051196 | 4.582438 | 0.607600 | 0.322297
410 | 411 | 2.850160 | -3.665720 | 4.484994 | 0.631938 | 0.336500
411 | 412 | 5.278538 | -2.238942 | 2.861224 | 0.752033 | 0.398685
412 | 413 | 0.946709 | 1.907628 | 5.196779 | 0.547226 | 0.579605
413 | 414 | 1.314173 | 3.104912 | 4.231404 | 0.563544 | 0.640172
414 | 415 | 1.780000 | 2.860000 | 3.881555 | 0.583841 | 0.631286
415 | 416 | 1.845110 | -4.098880 | 4.247264 | 0.586614 | 0.307634
416 | 417 | 5.436187 | -4.030482 | 2.109852 | 0.771915 | 0.316422
417 | 418 | 0.766444 | 3.182131 | 4.861453 | 0.531597 | 0.647517
418 | 419 | 1.938616 | -6.614410 | 4.521085 | 0.588371 | 0.195559
419 | 420 | 0.516573 | 1.583572 | 6.148363 | 0.520797 | 0.557435
420 | 421 | 1.246815 | 0.230297 | 5.681036 | 0.567985 | 0.506521
421 | 422 | 0.997827 | -6.930921 | 4.979576 | 0.543283 | 0.180745
422 | 423 | 3.288807 | -5.382514 | 3.795752 | 0.655317 | 0.254485
423 | 424 | 2.311631 | -1.566237 | 4.590085 | 0.621009 | 0.425982
424 | 425 | 2.680250 | -6.111567 | 4.096152 | 0.625560 | 0.219688
425 | 426 | 3.832928 | -1.537326 | 4.137731 | 0.680198 | 0.429281
426 | 427 | 2.961860 | -2.274215 | 4.440943 | 0.642764 | 0.395662
427 | 428 | 4.386901 | -2.683286 | 3.643886 | 0.704663 | 0.378470
428 | 429 | 1.217295 | -7.834465 | 4.969286 | 0.552012 | 0.137408
429 | 430 | 1.542374 | -0.136843 | 5.201008 | 0.589072 | 0.491363
430 | 431 | 3.878377 | -6.041764 | 3.311079 | 0.685945 | 0.224643
431 | 432 | 3.084037 | -6.809842 | 3.814195 | 0.645735 | 0.187360
432 | 433 | 3.747321 | -4.503545 | 3.726453 | 0.675343 | 0.296022
433 | 434 | 6.094129 | -3.205991 | 1.473482 | 0.810858 | 0.353695
434 | 435 | 4.588995 | -4.728726 | 2.983221 | 0.720122 | 0.285333
435 | 436 | 6.583231 | -3.941269 | 0.070268 | 0.866152 | 0.317295
436 | 437 | 3.492580 | -3.195820 | 4.130198 | 0.663187 | 0.355403
437 | 438 | 1.255543 | 0.802341 | 5.307551 | 0.570082 | 0.533674
438 | 439 | 1.126122 | -0.933602 | 6.538785 | 0.544562 | 0.451624
439 | 440 | 1.443109 | -1.142774 | 5.905127 | 0.562759 | 0.441215
440 | 441 | 0.923043 | -0.529042 | 7.003423 | 0.531987 | 0.469860
441 | 442 | 1.755386 | 3.529117 | 4.327696 | 0.585271 | 0.664823
442 | 443 | 2.632589 | 3.713828 | 4.364629 | 0.622953 | 0.677221
443 | 444 | 3.388062 | 3.721976 | 4.309028 | 0.655896 | 0.679837
444 | 445 | 4.075766 | 3.675413 | 4.076063 | 0.687132 | 0.677654
445 | 446 | 4.622910 | 3.474691 | 3.646321 | 0.716482 | 0.666799
446 | 447 | 5.171755 | 2.535753 | 2.670867 | 0.758757 | 0.617213
447 | 448 | 7.297331 | 0.763172 | -0.048769 | 0.897013 | 0.531231
448 | 449 | 4.706828 | 1.651000 | 3.109532 | 0.732392 | 0.575453
449 | 450 | 4.071712 | 1.476821 | 3.476944 | 0.702114 | 0.566837
450 | 451 | 3.269817 | 1.470659 | 3.731945 | 0.666525 | 0.566134
451 | 452 | 2.527572 | 1.617311 | 3.865444 | 0.633505 | 0.573912
452 | 453 | 1.970894 | 1.858505 | 3.961782 | 0.603876 | 0.583413
453 | 454 | 1.579543 | 2.097941 | 4.084996 | 0.579658 | 0.590055
454 | 455 | 7.664182 | 0.673132 | -2.435867 | 0.992440 | 0.519223
455 | 456 | 1.397041 | -1.340139 | 5.630378 | 0.567192 | 0.430580
456 | 457 | 0.884838 | 0.658740 | 6.233232 | 0.541366 | 0.521101
457 | 458 | 0.767097 | -0.968035 | 7.077932 | 0.526564 | 0.453882
458 | 459 | 0.460213 | -1.334106 | 6.787447 | 0.523913 | 0.436170
459 | 460 | 0.748618 | -1.067994 | 6.798303 | 0.531529 | 0.444943
460 | 461 | 1.236408 | -1.585568 | 5.480490 | 0.566036 | 0.417671
461 | 462 | 0.387306 | -1.409990 | 6.957705 | 0.516311 | 0.436946
462 | 463 | 0.319925 | -1.607931 | 6.508676 | 0.517472 | 0.422123
463 | 464 | 1.639633 | 2.556298 | 3.863736 | 0.573595 | 0.610193
464 | 465 | 1.255645 | 2.467144 | 4.203800 | 0.560698 | 0.604668
465 | 466 | 1.031362 | 2.382663 | 4.615849 | 0.549756 | 0.600249
466 | 467 | 4.253081 | 2.772296 | 3.315305 | 0.710288 | 0.631747
467 | 468 | 4.530000 | 2.910000 | 3.339685 | 0.723330 | 0.636627
